"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-07-31",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-08-31",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-09-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-10-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-11-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2014-12-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-01",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-21",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-22",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-29",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-30",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-01-31",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-02",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-03",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-04",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-05",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-06",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-07",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-08",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-20",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-02-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-09",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-10",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-11",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-12",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-13",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-14",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-15",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-16",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-17",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-18",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-19",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-23",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-24",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-25",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-26",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-27",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-28",,,,
"US1ALTS0022","TUSCALOOSA 1.3 ENE, AL US","2015-03-29",,,,
